paper_table,experiment,model,dataset,task,metric,paper_value,reproduced_value,absolute_delta,relative_delta,seed,checkpoint,status,notes
Table 2,official_source_oea_qwen7b_ac_clotho_t2a_public_code_default_joint_all_captions,OEA-Qwen7B,Clotho,T2A,R@1,19.77,19.885167464114833,0.115167,0.582536,0,JudeJiwoo/OEA-Qwen7B-AC@f44f247020a7192affe6927db91d0778d33b9791/step_300.pt#sha256:cd751e3a71f0b47b9ecbbc0f5a11e4673097f0ebdbd80f610387f5778dd70a46,close,"[unit=percent] [CODE][OBSERVED] Official OEA loader and metric source; all 5,225 captions query 1,045 audio candidates. PAPER does not disclose caption selection or the public path's omitted passage prefix."
Table 2,official_source_oea_qwen7b_ac_clotho_t2a_public_code_default_joint_all_captions,OEA-Qwen7B,Clotho,T2A,R@5,44.78,44.688995215311,0.091005,-0.203226,0,JudeJiwoo/OEA-Qwen7B-AC@f44f247020a7192affe6927db91d0778d33b9791/step_300.pt#sha256:cd751e3a71f0b47b9ecbbc0f5a11e4673097f0ebdbd80f610387f5778dd70a46,close,"[unit=percent] [CODE][OBSERVED] Official OEA loader and metric source; all 5,225 captions query 1,045 audio candidates. PAPER does not disclose caption selection or the public path's omitted passage prefix."
Table 2,official_source_oea_qwen7b_ac_clotho_t2a_public_code_default_joint_all_captions,OEA-Qwen7B,Clotho,T2A,R@10,57.65,57.09090909090909,0.559091,-0.969802,0,JudeJiwoo/OEA-Qwen7B-AC@f44f247020a7192affe6927db91d0778d33b9791/step_300.pt#sha256:cd751e3a71f0b47b9ecbbc0f5a11e4673097f0ebdbd80f610387f5778dd70a46,close,"[unit=percent] [CODE][OBSERVED] Official OEA loader and metric source; all 5,225 captions query 1,045 audio candidates. PAPER does not disclose caption selection or the public path's omitted passage prefix."
Table 2,official_source_oea_qwen7b_ac_clotho_t2a_public_code_t2a_only_seed0,OEA-Qwen7B,Clotho,T2A,R@1,19.77,20.574162679425836,0.804163,4.067591,0,JudeJiwoo/OEA-Qwen7B-AC@f44f247020a7192affe6927db91d0778d33b9791/step_300.pt#sha256:cd751e3a71f0b47b9ecbbc0f5a11e4673097f0ebdbd80f610387f5778dd70a46,close,[unit=percent] [CODE][OBSERVED] Public T2A-only selection uses one seed-0 caption per clip. Both predeclared caption protocols remain reported; no post-hoc selection is made.
Table 2,official_source_oea_qwen7b_ac_clotho_t2a_public_code_t2a_only_seed0,OEA-Qwen7B,Clotho,T2A,R@5,44.78,44.97607655502392,0.196077,0.437866,0,JudeJiwoo/OEA-Qwen7B-AC@f44f247020a7192affe6927db91d0778d33b9791/step_300.pt#sha256:cd751e3a71f0b47b9ecbbc0f5a11e4673097f0ebdbd80f610387f5778dd70a46,close,[unit=percent] [CODE][OBSERVED] Public T2A-only selection uses one seed-0 caption per clip. Both predeclared caption protocols remain reported; no post-hoc selection is made.
Table 2,official_source_oea_qwen7b_ac_clotho_t2a_public_code_t2a_only_seed0,OEA-Qwen7B,Clotho,T2A,R@10,57.65,55.885167464114836,1.764833,-3.061288,0,JudeJiwoo/OEA-Qwen7B-AC@f44f247020a7192affe6927db91d0778d33b9791/step_300.pt#sha256:cd751e3a71f0b47b9ecbbc0f5a11e4673097f0ebdbd80f610387f5778dd70a46,close,[unit=percent] [CODE][OBSERVED] Public T2A-only selection uses one seed-0 caption per clip. Both predeclared caption protocols remain reported; no post-hoc selection is made.
Table 2,official_source_oea_qwen7b_cl_clotho_t2a_public_code_default_joint_all_captions,OEA-Qwen7B (+Cl),Clotho,T2A,R@1,22.53,22.028708133971293,0.501292,-2.224997,0,JudeJiwoo/OEA-Qwen7B-Cl@30c6e97cfdf451b1948013d2839befe0c3022c46/step_330.pt#sha256:09ce41af7e7ac23106fa74d25e45b7229a046d687774cbd4ab2c00c05097d92e,close,"[unit=percent] [CODE][OBSERVED] Official OEA loader and metric source; all 5,225 captions query 1,045 audio candidates. PAPER does not disclose caption selection or the public path's omitted passage prefix."
Table 2,official_source_oea_qwen7b_cl_clotho_t2a_public_code_default_joint_all_captions,OEA-Qwen7B (+Cl),Clotho,T2A,R@5,48.80,48.535885167464116,0.264115,-0.541219,0,JudeJiwoo/OEA-Qwen7B-Cl@30c6e97cfdf451b1948013d2839befe0c3022c46/step_330.pt#sha256:09ce41af7e7ac23106fa74d25e45b7229a046d687774cbd4ab2c00c05097d92e,close,"[unit=percent] [CODE][OBSERVED] Official OEA loader and metric source; all 5,225 captions query 1,045 audio candidates. PAPER does not disclose caption selection or the public path's omitted passage prefix."
Table 2,official_source_oea_qwen7b_cl_clotho_t2a_public_code_default_joint_all_captions,OEA-Qwen7B (+Cl),Clotho,T2A,R@10,62.70,61.64593301435407,1.054067,-1.681128,0,JudeJiwoo/OEA-Qwen7B-Cl@30c6e97cfdf451b1948013d2839befe0c3022c46/step_330.pt#sha256:09ce41af7e7ac23106fa74d25e45b7229a046d687774cbd4ab2c00c05097d92e,close,"[unit=percent] [CODE][OBSERVED] Official OEA loader and metric source; all 5,225 captions query 1,045 audio candidates. PAPER does not disclose caption selection or the public path's omitted passage prefix."
Table 2,official_source_oea_qwen7b_cl_clotho_t2a_public_code_t2a_only_seed0,OEA-Qwen7B (+Cl),Clotho,T2A,R@1,22.53,22.00956937799043,0.520431,-2.309945,0,JudeJiwoo/OEA-Qwen7B-Cl@30c6e97cfdf451b1948013d2839befe0c3022c46/step_330.pt#sha256:09ce41af7e7ac23106fa74d25e45b7229a046d687774cbd4ab2c00c05097d92e,close,[unit=percent] [CODE][OBSERVED] Public T2A-only selection uses one seed-0 caption per clip. Both predeclared caption protocols remain reported; no post-hoc selection is made.
Table 2,official_source_oea_qwen7b_cl_clotho_t2a_public_code_t2a_only_seed0,OEA-Qwen7B (+Cl),Clotho,T2A,R@5,48.80,48.229665071770334,0.570335,-1.168719,0,JudeJiwoo/OEA-Qwen7B-Cl@30c6e97cfdf451b1948013d2839befe0c3022c46/step_330.pt#sha256:09ce41af7e7ac23106fa74d25e45b7229a046d687774cbd4ab2c00c05097d92e,close,[unit=percent] [CODE][OBSERVED] Public T2A-only selection uses one seed-0 caption per clip. Both predeclared caption protocols remain reported; no post-hoc selection is made.
Table 2,official_source_oea_qwen7b_cl_clotho_t2a_public_code_t2a_only_seed0,OEA-Qwen7B (+Cl),Clotho,T2A,R@10,62.70,60.47846889952153,2.221531,-3.543112,0,JudeJiwoo/OEA-Qwen7B-Cl@30c6e97cfdf451b1948013d2839befe0c3022c46/step_330.pt#sha256:09ce41af7e7ac23106fa74d25e45b7229a046d687774cbd4ab2c00c05097d92e,close,[unit=percent] [CODE][OBSERVED] Public T2A-only selection uses one seed-0 caption per clip. Both predeclared caption protocols remain reported; no post-hoc selection is made.
Table 2,official_source_vanilla_nemotron_3b_clotho_t2a_public_code_default_joint_all_captions,Nemotron-3B,Clotho,T2A,R@1,7.20,7.253588516746412,0.053589,0.744285,42,base-only:nvidia/omni-embed-nemotron-3b@865db1bb57e369a85357cf114cbd6b3c5322d19d#model-lock-sha256=eb62da7579d2f5b7ccd774e15d518d3ed50f4d502753b3fc4a7f51187b96cc1c,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A protocol evaluates 5,225 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_nemotron_3b_clotho_t2a_public_code_default_joint_all_captions,Nemotron-3B,Clotho,T2A,R@5,21.57,21.301435406698566,0.268565,-1.245084,42,base-only:nvidia/omni-embed-nemotron-3b@865db1bb57e369a85357cf114cbd6b3c5322d19d#model-lock-sha256=eb62da7579d2f5b7ccd774e15d518d3ed50f4d502753b3fc4a7f51187b96cc1c,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A protocol evaluates 5,225 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_nemotron_3b_clotho_t2a_public_code_default_joint_all_captions,Nemotron-3B,Clotho,T2A,R@10,30.12,30.181818181818183,0.061818,0.20524,42,base-only:nvidia/omni-embed-nemotron-3b@865db1bb57e369a85357cf114cbd6b3c5322d19d#model-lock-sha256=eb62da7579d2f5b7ccd774e15d518d3ed50f4d502753b3fc4a7f51187b96cc1c,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A protocol evaluates 5,225 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_nemotron_3b_clotho_t2a_public_code_t2a_only_seed0,Nemotron-3B,Clotho,T2A,R@1,7.20,7.464114832535886,0.264115,3.668262,42,base-only:nvidia/omni-embed-nemotron-3b@865db1bb57e369a85357cf114cbd6b3c5322d19d#model-lock-sha256=eb62da7579d2f5b7ccd774e15d518d3ed50f4d502753b3fc4a7f51187b96cc1c,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A protocol evaluates 1,045 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_nemotron_3b_clotho_t2a_public_code_t2a_only_seed0,Nemotron-3B,Clotho,T2A,R@5,21.57,21.24401913875598,0.325981,-1.51127,42,base-only:nvidia/omni-embed-nemotron-3b@865db1bb57e369a85357cf114cbd6b3c5322d19d#model-lock-sha256=eb62da7579d2f5b7ccd774e15d518d3ed50f4d502753b3fc4a7f51187b96cc1c,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A protocol evaluates 1,045 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_nemotron_3b_clotho_t2a_public_code_t2a_only_seed0,Nemotron-3B,Clotho,T2A,R@10,30.12,31.483253588516746,1.363254,4.526074,42,base-only:nvidia/omni-embed-nemotron-3b@865db1bb57e369a85357cf114cbd6b3c5322d19d#model-lock-sha256=eb62da7579d2f5b7ccd774e15d518d3ed50f4d502753b3fc4a7f51187b96cc1c,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A protocol evaluates 1,045 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_qwen2_5_omni_3b_clotho_t2a_public_code_default_joint_all_captions,Qwen2.5-Omni-3B,Clotho,T2A,R@1,0.17,0.17224880382775118,0.002249,1.322826,42,base-only:Qwen/Qwen2.5-Omni-3B@f75b40e3da2003cdd6e1829b1f420ca70797c34e#model-lock-sha256=9c73f0489ffcbc41b4126d2c2329569dd0f4c58ac8c13207aa41257f266a84e2,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A protocol evaluates 5,225 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_qwen2_5_omni_3b_clotho_t2a_public_code_default_joint_all_captions,Qwen2.5-Omni-3B,Clotho,T2A,R@5,0.63,0.631578947368421,0.001579,0.250627,42,base-only:Qwen/Qwen2.5-Omni-3B@f75b40e3da2003cdd6e1829b1f420ca70797c34e#model-lock-sha256=9c73f0489ffcbc41b4126d2c2329569dd0f4c58ac8c13207aa41257f266a84e2,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A protocol evaluates 5,225 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_qwen2_5_omni_3b_clotho_t2a_public_code_default_joint_all_captions,Qwen2.5-Omni-3B,Clotho,T2A,R@10,1.13,1.1483253588516746,0.018325,1.621713,42,base-only:Qwen/Qwen2.5-Omni-3B@f75b40e3da2003cdd6e1829b1f420ca70797c34e#model-lock-sha256=9c73f0489ffcbc41b4126d2c2329569dd0f4c58ac8c13207aa41257f266a84e2,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A protocol evaluates 5,225 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_qwen2_5_omni_3b_clotho_t2a_public_code_t2a_only_seed0,Qwen2.5-Omni-3B,Clotho,T2A,R@1,0.17,0.09569377990430622,0.074306,-43.709541,42,base-only:Qwen/Qwen2.5-Omni-3B@f75b40e3da2003cdd6e1829b1f420ca70797c34e#model-lock-sha256=9c73f0489ffcbc41b4126d2c2329569dd0f4c58ac8c13207aa41257f266a84e2,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A protocol evaluates 1,045 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_qwen2_5_omni_3b_clotho_t2a_public_code_t2a_only_seed0,Qwen2.5-Omni-3B,Clotho,T2A,R@5,0.63,0.5741626794258373,0.055837,-8.863067,42,base-only:Qwen/Qwen2.5-Omni-3B@f75b40e3da2003cdd6e1829b1f420ca70797c34e#model-lock-sha256=9c73f0489ffcbc41b4126d2c2329569dd0f4c58ac8c13207aa41257f266a84e2,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A protocol evaluates 1,045 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_qwen2_5_omni_3b_clotho_t2a_public_code_t2a_only_seed0,Qwen2.5-Omni-3B,Clotho,T2A,R@10,1.13,1.1483253588516746,0.018325,1.621713,42,base-only:Qwen/Qwen2.5-Omni-3B@f75b40e3da2003cdd6e1829b1f420ca70797c34e#model-lock-sha256=9c73f0489ffcbc41b4126d2c2329569dd0f4c58ac8c13207aa41257f266a84e2,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A protocol evaluates 1,045 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_qwen2_5_omni_7b_clotho_t2a_public_code_default_joint_all_captions,Qwen2.5-Omni-7B,Clotho,T2A,R@1,0.10,0.095694,0.004306,-4.306,42,base-only:Qwen/Qwen2.5-Omni-7B@ae9e1690543ffd5c0221dc27f79834d0294cba00#model-lock-sha256=92173cfc0615841f8300b4e03a8954af339635de0b791b94c2d049eb2d8638ef,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A protocol evaluates 5,225 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_qwen2_5_omni_7b_clotho_t2a_public_code_default_joint_all_captions,Qwen2.5-Omni-7B,Clotho,T2A,R@5,0.65,0.650718,0.000718,0.110462,42,base-only:Qwen/Qwen2.5-Omni-7B@ae9e1690543ffd5c0221dc27f79834d0294cba00#model-lock-sha256=92173cfc0615841f8300b4e03a8954af339635de0b791b94c2d049eb2d8638ef,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A protocol evaluates 5,225 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_qwen2_5_omni_7b_clotho_t2a_public_code_default_joint_all_captions,Qwen2.5-Omni-7B,Clotho,T2A,R@10,1.32,1.244019,0.075981,-5.756136,42,base-only:Qwen/Qwen2.5-Omni-7B@ae9e1690543ffd5c0221dc27f79834d0294cba00#model-lock-sha256=92173cfc0615841f8300b4e03a8954af339635de0b791b94c2d049eb2d8638ef,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A protocol evaluates 5,225 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_qwen2_5_omni_7b_clotho_t2a_public_code_t2a_only_seed0,Qwen2.5-Omni-7B,Clotho,T2A,R@1,0.10,0,0.1,-100,42,base-only:Qwen/Qwen2.5-Omni-7B@ae9e1690543ffd5c0221dc27f79834d0294cba00#model-lock-sha256=92173cfc0615841f8300b4e03a8954af339635de0b791b94c2d049eb2d8638ef,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A protocol evaluates 1,045 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_qwen2_5_omni_7b_clotho_t2a_public_code_t2a_only_seed0,Qwen2.5-Omni-7B,Clotho,T2A,R@5,0.65,0.669856,0.019856,3.054769,42,base-only:Qwen/Qwen2.5-Omni-7B@ae9e1690543ffd5c0221dc27f79834d0294cba00#model-lock-sha256=92173cfc0615841f8300b4e03a8954af339635de0b791b94c2d049eb2d8638ef,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A protocol evaluates 1,045 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_vanilla_qwen2_5_omni_7b_clotho_t2a_public_code_t2a_only_seed0,Qwen2.5-Omni-7B,Clotho,T2A,R@10,1.32,1.339713,0.019713,1.493409,42,base-only:Qwen/Qwen2.5-Omni-7B@ae9e1690543ffd5c0221dc27f79834d0294cba00#model-lock-sha256=92173cfc0615841f8300b4e03a8954af339635de0b791b94c2d049eb2d8638ef,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A protocol evaluates 1,045 captions with no OEA checkpoint, LoRA, or projection head. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 3,oea_nemo3b_cl_clotho_t2t_all_captions_sensitivity,OEA-Nemo3B (+Cl),Clotho,T2T,R@1,63.77,63.693779904306226,0.07622,-0.119523,42,JudeJiwoo/OEA-Nemo3B-Cl@9588912298afca0b11f5895b864ae28083f35022/step_450_best_inference_only.pt#sha256:2a5bee9039a28c0028cf205d1e2f4302fda540dd913f4cc1b08301edfc6680c4,close,[unit=percent] [INFERRED] All-caption T2T sensitivity protocol was declared before the run because PAPER omits caption selection. Absolute delta is 0.076220 percentage points. It is not selected as the strict protocol based on the observed result.
Table 3,oea_nemo3b_cl_clotho_t2t_all_captions_sensitivity,OEA-Nemo3B (+Cl),Clotho,T2T,R@5,75.29,75.23444976076556,0.05555,-0.073782,42,JudeJiwoo/OEA-Nemo3B-Cl@9588912298afca0b11f5895b864ae28083f35022/step_450_best_inference_only.pt#sha256:2a5bee9039a28c0028cf205d1e2f4302fda540dd913f4cc1b08301edfc6680c4,close,[unit=percent] [INFERRED] All-caption T2T sensitivity protocol was declared before the run because PAPER omits caption selection. Absolute delta is 0.055550 percentage points. It is not selected as the strict protocol based on the observed result.
Table 3,oea_nemo3b_cl_clotho_t2t_all_captions_sensitivity,OEA-Nemo3B (+Cl),Clotho,T2T,R@10,80.11,80.01913875598086,0.090861,-0.113421,42,JudeJiwoo/OEA-Nemo3B-Cl@9588912298afca0b11f5895b864ae28083f35022/step_450_best_inference_only.pt#sha256:2a5bee9039a28c0028cf205d1e2f4302fda540dd913f4cc1b08301edfc6680c4,close,[unit=percent] [INFERRED] All-caption T2T sensitivity protocol was declared before the run because PAPER omits caption selection. Absolute delta is 0.090861 percentage points. It is not selected as the strict protocol based on the observed result.
Table 3,oea_nemo3b_cl_clotho_t2t_public_code_default_seed0,OEA-Nemo3B (+Cl),Clotho,T2T,R@1,63.77,62.96650717703349,0.803493,-1.259986,42,JudeJiwoo/OEA-Nemo3B-Cl@9588912298afca0b11f5895b864ae28083f35022/step_450_best_inference_only.pt#sha256:2a5bee9039a28c0028cf205d1e2f4302fda540dd913f4cc1b08301edfc6680c4,close,"[unit=percent] [CODE] Default T2T eval_core path selects one caption per clip with query-selection seed 0; embedding seed is 42. Absolute delta is 0.803493 percentage points. Paper caption selection, self-exclusion, and tie handling remain missing."
Table 3,oea_nemo3b_cl_clotho_t2t_public_code_default_seed0,OEA-Nemo3B (+Cl),Clotho,T2T,R@5,75.29,75.98086124401914,0.690861,0.9176,42,JudeJiwoo/OEA-Nemo3B-Cl@9588912298afca0b11f5895b864ae28083f35022/step_450_best_inference_only.pt#sha256:2a5bee9039a28c0028cf205d1e2f4302fda540dd913f4cc1b08301edfc6680c4,close,"[unit=percent] [CODE] Default T2T eval_core path selects one caption per clip with query-selection seed 0; embedding seed is 42. Absolute delta is 0.690861 percentage points. Paper caption selection, self-exclusion, and tie handling remain missing."
Table 3,oea_nemo3b_cl_clotho_t2t_public_code_default_seed0,OEA-Nemo3B (+Cl),Clotho,T2T,R@10,80.11,80.86124401913875,0.751244,0.937766,42,JudeJiwoo/OEA-Nemo3B-Cl@9588912298afca0b11f5895b864ae28083f35022/step_450_best_inference_only.pt#sha256:2a5bee9039a28c0028cf205d1e2f4302fda540dd913f4cc1b08301edfc6680c4,close,"[unit=percent] [CODE] Default T2T eval_core path selects one caption per clip with query-selection seed 0; embedding seed is 42. Absolute delta is 0.751244 percentage points. Paper caption selection, self-exclusion, and tie handling remain missing."
Table 3,oea_qwen3b_cl_clotho_t2t_all_captions_sensitivity,OEA-Qwen3B (+Cl),Clotho,T2T,R@1,64.52,64.36363636363637,0.156364,-0.242349,42,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,close,[unit=percent] [INFERRED] All-caption T2T sensitivity protocol was declared before the run because PAPER omits caption selection. Absolute delta is 0.156364 percentage points. It is not selected as the strict protocol based on the observed result.
Table 3,oea_qwen3b_cl_clotho_t2t_all_captions_sensitivity,OEA-Qwen3B (+Cl),Clotho,T2T,R@5,75.25,75.13875598086125,0.111244,-0.147833,42,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,close,[unit=percent] [INFERRED] All-caption T2T sensitivity protocol was declared before the run because PAPER omits caption selection. Absolute delta is 0.111244 percentage points. It is not selected as the strict protocol based on the observed result.
Table 3,oea_qwen3b_cl_clotho_t2t_all_captions_sensitivity,OEA-Qwen3B (+Cl),Clotho,T2T,R@10,79.71,79.73205741626795,0.022057,0.027672,42,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,close,[unit=percent] [INFERRED] All-caption T2T sensitivity protocol was declared before the run because PAPER omits caption selection. Absolute delta is 0.022057 percentage points. It is not selected as the strict protocol based on the observed result.
Table 3,oea_qwen3b_cl_clotho_t2t_public_code_default_seed0,OEA-Qwen3B (+Cl),Clotho,T2T,R@1,64.52,64.40191387559808,0.118086,-0.183023,42,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,close,[unit=percent] [CODE] Default T2T eval_core path selects one caption per clip with query-selection seed 0; embedding seed is 42. Absolute delta is 0.118086 percentage points. Paper self-exclusion and tie handling remain missing.
Table 3,oea_qwen3b_cl_clotho_t2t_public_code_default_seed0,OEA-Qwen3B (+Cl),Clotho,T2T,R@5,75.25,76.17224880382774,0.922249,1.22558,42,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,close,[unit=percent] [CODE] Default T2T eval_core path selects one caption per clip with query-selection seed 0; embedding seed is 42. Absolute delta is 0.922249 percentage points. Paper self-exclusion and tie handling remain missing.
Table 3,oea_qwen3b_cl_clotho_t2t_public_code_default_seed0,OEA-Qwen3B (+Cl),Clotho,T2T,R@10,79.71,80.76555023923446,1.05555,1.324238,42,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,close,[unit=percent] [CODE] Default T2T eval_core path selects one caption per clip with query-selection seed 0; embedding seed is 42. Absolute delta is 1.055550 percentage points. Paper self-exclusion and tie handling remain missing.
Table 3,oea_qwen3b_cl_clotho_t2t_strict_paper_protocol,OEA-Qwen3B (+Cl),Clotho,T2T,R@1,64.52,,,,,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,blocked,"[unit=percent] [MISSING] The paper and public evaluation command do not identify the Clotho query-caption selection, self-exclusion, or tie policy for T2T. No post-result protocol selection is permitted."
Table 3,oea_qwen3b_cl_clotho_t2t_strict_paper_protocol,OEA-Qwen3B (+Cl),Clotho,T2T,R@5,75.25,,,,,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,blocked,"[unit=percent] [MISSING] The paper and public evaluation command do not identify the Clotho query-caption selection, self-exclusion, or tie policy for T2T. No post-result protocol selection is permitted."
Table 3,oea_qwen3b_cl_clotho_t2t_strict_paper_protocol,OEA-Qwen3B (+Cl),Clotho,T2T,R@10,79.71,,,,,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,blocked,"[unit=percent] [MISSING] The paper and public evaluation command do not identify the Clotho query-caption selection, self-exclusion, or tie policy for T2T. No post-result protocol selection is permitted."
Table 3,oea_qwen3b_clotho_t2t_all_captions_sensitivity,OEA-Qwen3B,Clotho,T2T,R@1,62.81,62.79425837320575,0.015742,-0.025062,42,JudeJiwoo/OEA-Qwen3B-AC@f6c4b3b86385fd7ecbe3bacf45548a2259af8db4/step_350_inference_only.pt#sha256:b1d0f559711b70f5a80dbdeb8cd46d80ed7b38b8e5524b9a871878d8bcd5f101,close,[unit=percent] [INFERRED] All-caption T2T sensitivity protocol was declared before the run because PAPER omits caption selection. Absolute delta is 0.015742 percentage points. It is not selected as the strict protocol based on the observed result.
Table 3,oea_qwen3b_clotho_t2t_all_captions_sensitivity,OEA-Qwen3B,Clotho,T2T,R@5,73.76,73.8755980861244,0.115598,0.156722,42,JudeJiwoo/OEA-Qwen3B-AC@f6c4b3b86385fd7ecbe3bacf45548a2259af8db4/step_350_inference_only.pt#sha256:b1d0f559711b70f5a80dbdeb8cd46d80ed7b38b8e5524b9a871878d8bcd5f101,close,[unit=percent] [INFERRED] All-caption T2T sensitivity protocol was declared before the run because PAPER omits caption selection. Absolute delta is 0.115598 percentage points. It is not selected as the strict protocol based on the observed result.
Table 3,oea_qwen3b_clotho_t2t_all_captions_sensitivity,OEA-Qwen3B,Clotho,T2T,R@10,78.22,78.3157894736842,0.095789,0.122462,42,JudeJiwoo/OEA-Qwen3B-AC@f6c4b3b86385fd7ecbe3bacf45548a2259af8db4/step_350_inference_only.pt#sha256:b1d0f559711b70f5a80dbdeb8cd46d80ed7b38b8e5524b9a871878d8bcd5f101,close,[unit=percent] [INFERRED] All-caption T2T sensitivity protocol was declared before the run because PAPER omits caption selection. Absolute delta is 0.095789 percentage points. It is not selected as the strict protocol based on the observed result.
